Question 1:  How many singers do we have ? ||| concert_singer
Question 2:  What is the total number of singers ? ||| concert_singer
Question 3:  Show name , country , age for all singers ordered by age from the oldest to the youngest . ||| concert_singer
Question 4:  What are the names , countries , and ages for every singer in descending order of age ? ||| concert_singer
Question 5:  What is the average , minimum , and maximum age of all singers from France ? ||| concert_singer
Question 6:  What is the average , minimum , and maximum age for all French singers ? ||| concert_singer
Question 7:  Show the name and the release year of the song by the youngest singer . ||| concert_singer
Question 8:  What are the names and release years for all the songs of the youngest singer ? ||| concert_singer
Question 9:  What are all distinct countries where singers above age 20 are from ? ||| concert_singer
Question 10:  What are the different countries with singers above age 20 ? ||| concert_singer
Question 11:  Show all countries and the number of singers in each country . ||| concert_singer
Question 12:  How many singers are from each country ? ||| concert_singer
Question 13:  List all song names by singers above the average age . ||| concert_singer
Question 14:  What are all the song names by singers who are older than average ? ||| concert_singer
Question 15:  Show location and name for all stadiums with a capacity between 5000 and 10000 . ||| concert_singer
Question 16:  What are the locations and names of all stations with capacity between 5000 and 10000 ? ||| concert_singer
Question 17:  What is the maximum capacity and the average of all stadiums ? ||| concert_singer
Question 18:  What is the average and maximum capacities for all stadiums ? ||| concert_singer
Question 19:  What is the name and capacity for the stadium with highest average attendance ? ||| concert_singer
Question 20:  What is the name and capacity for the stadium with the highest average attendance ? ||| concert_singer
Question 21:  How many concerts are there in year 2014 or 2015 ? ||| concert_singer
Question 22:  How many concerts occurred in 2014 or 2015 ? ||| concert_singer
Question 23:  Show the stadium name and the number of concerts in each stadium . ||| concert_singer
Question 24:  For each stadium , how many concerts play there ? ||| concert_singer
Question 25:  Show the stadium name and capacity with most number of concerts in year 2014 or after . ||| concert_singer
Question 26:  What is the name and capacity of the stadium with the most concerts after 2013 ? ||| concert_singer
Question 27:  Which year has most number of concerts ? ||| concert_singer
Question 28:  What is the year that had the most concerts ? ||| concert_singer
Question 29:  Show the stadium names without any concert . ||| concert_singer
Question 30:  What are the names of the stadiums without any concerts ? ||| concert_singer
Question 31:  Show countries where a singer above age 40 and a singer below 30 are from . ||| concert_singer
Question 32:  Show names for all stadiums except for stadiums having a concert in year 2014 . ||| concert_singer
Question 33:  What are the names of all stadiums that did not have a concert in 2014 ? ||| concert_singer
Question 34:  Show the name and theme for all concerts and the number of singers in each concert . ||| concert_singer
Question 35:  What are the names , themes , and number of singers for every concert ? ||| concert_singer
Question 36:  List singer names and number of concerts for each singer . ||| concert_singer
Question 37:  What are the names of the singers and number of concerts for each person ? ||| concert_singer
Question 38:  List all singer names in concerts in year 2014 . ||| concert_singer
Question 39:  What are the names of the singers who performed in a concert in 2014 ? ||| concert_singer
Question 40:  what is the name and nation of the singer who have a song having 'Hey ' in its name ? ||| concert_singer
Question 41:  What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ? ||| concert_singer
Question 42:  Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 . ||| concert_singer
Question 43:  What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ? ||| concert_singer
Question 44:  Find the number of concerts happened in the stadium with the highest capacity . ||| concert_singer
Question 45:  What are the number of concerts that occurred in the stadium with the largest capacity ? ||| concert_singer
Question 46:  Find the number of pets whose weight is heavier than 10 . ||| pets_1
Question 47:  How many pets have a greater weight than 10 ? ||| pets_1
Question 48:  Find the weight of the youngest dog . ||| pets_1
Question 49:  How much does the youngest dog weigh ? ||| pets_1
Question 50:  Find the maximum weight for each type of pet . List the maximum weight and pet type . ||| pets_1
Question 51:  List the maximum weight and type for each type of pet . ||| pets_1
Question 52:  Find number of pets owned by students who are older than 20 . ||| pets_1
Question 53:  How many pets are owned by students that have an age greater than 20 ? ||| pets_1
Question 54:  Find the number of dog pets that are raised by female students ( with sex F ) . ||| pets_1
Question 55:  How many dog pets are raised by female students ? ||| pets_1
Question 56:  Find the number of distinct type of pets . ||| pets_1
Question 57:  How many different types of pet are there ? ||| pets_1
Question 58:  Find the first name of students who have cat or dog pet . ||| pets_1
Question 59:  What are the first names of every student who has a cat or dog as a pet ? ||| pets_1
Question 60:  Find the first name of students who have both cat and dog pets . ||| pets_1
Question 61:  What are the students ' first names who have both cats and dogs as pets ? ||| pets_1
Question 62:  Find the major and age of students who do not have a cat pet . ||| pets_1
Question 63:  What major is every student who does not own a cat as a pet , and also how old are they ? ||| pets_1
Question 64:  Find the id of students who do not have a cat pet . ||| pets_1
Question 65:  What are the ids of the students who do not own cats as pets ? ||| pets_1
Question 66:  Find the first name and age of students who have a dog but do not have a cat as a pet . ||| pets_1
Question 67:  What is the first name of every student who has a dog but does not have a cat ? ||| pets_1
Question 68:  Find the type and weight of the youngest pet . ||| pets_1
Question 69:  What type of pet is the youngest animal , and how much does it weigh ? ||| pets_1
Question 70:  Find the id and weight of all pets whose age is older than 1 . ||| pets_1
Question 71:  What is the id and weight of every pet who is older than 1 ? ||| pets_1
Question 72:  Find the average and maximum age for each type of pet . ||| pets_1
Question 73:  What is the average and maximum age for each pet type ? ||| pets_1
Question 74:  Find the average weight for each pet type . ||| pets_1
Question 75:  What is the average weight for each type of pet ? ||| pets_1
Question 76:  Find the first name and age of students who have a pet . ||| pets_1
Question 77:  What are the different first names and ages of the students who do have pets ? ||| pets_1
Question 78:  Find the id of the pet owned by student whose last name is ¡®Smith¡¯ . ||| pets_1
Question 79:  What is the id of the pet owned by the student whose last name is 'Smith ' ? ||| pets_1
Question 80:  Find the number of pets for each student who has any pet and student id . ||| pets_1
Question 81:  For students who have pets , how many pets does each student have ? list their ids instead of names . ||| pets_1
Question 82:  Find the first name and gender of student who have more than one pet . ||| pets_1
Question 83:  What is the first name and gender of the all the students who have more than one pet ? ||| pets_1
Question 84:  Find the last name of the student who has a cat that is age 3 . ||| pets_1
Question 85:  What is the last name of the student who has a cat that is 3 years old ? ||| pets_1
Question 86:  Find the average age of students who do not have any pet . ||| pets_1
Question 87:  What is the average age for all students who do not own any pets ? ||| pets_1
Question 88:  How many continents are there ? ||| car_1
